test_case,call_number,latency,result
1,92,0.19077134132385254,FAKE
1,93,0.11427092552185059,FAKE
1,94,0.07048487663269043,FAKE
1,95,0.0701131820678711,FAKE
1,96,0.0740213394165039,FAKE
1,97,0.059667110443115234,FAKE
1,98,0.3376309871673584,FAKE
1,99,0.07741808891296387,FAKE
1,100,0.2757551670074463,FAKE
2,1,0.13645005226135254,FAKE
2,2,0.1073601245880127,FAKE
2,3,0.13809609413146973,FAKE
2,4,0.23624801635742188,FAKE
2,5,0.15263676643371582,FAKE
2,6,0.08154511451721191,FAKE
2,7,0.21198487281799316,FAKE
2,8,0.0925910472869873,FAKE
2,9,0.10255694389343262,FAKE
2,10,0.0908200740814209,FAKE
2,11,0.16395902633666992,FAKE
2,12,0.09372782707214355,FAKE
2,13,0.0884559154510498,FAKE
2,14,0.09628701210021973,FAKE
2,15,0.06835103034973145,FAKE
2,16,0.07841992378234863,FAKE
2,17,0.1802690029144287,FAKE
2,18,0.0731668472290039,FAKE
2,19,0.1246490478515625,FAKE
2,20,0.07978010177612305,FAKE
2,21,0.1712801456451416,FAKE
2,22,0.13316106796264648,FAKE
2,23,0.13244104385375977,FAKE
2,24,0.06919407844543457,FAKE
2,25,0.18804311752319336,FAKE
2,26,0.06505227088928223,FAKE
2,27,0.07452106475830078,FAKE
2,28,0.07534623146057129,FAKE
2,29,0.07915091514587402,FAKE
2,30,0.09018969535827637,FAKE
2,31,0.12827062606811523,FAKE
2,32,0.15427494049072266,FAKE
2,33,0.17177200317382812,FAKE
2,34,0.06660723686218262,FAKE
2,35,0.17286396026611328,FAKE
2,36,0.0800008773803711,FAKE
2,37,0.18338775634765625,FAKE
2,38,0.2745370864868164,FAKE
2,39,0.08789277076721191,FAKE
2,40,0.12398290634155273,FAKE
2,41,0.0731501579284668,FAKE
2,42,0.18485593795776367,FAKE
2,43,0.15706801414489746,FAKE
2,44,0.10133600234985352,FAKE
2,45,0.08795285224914551,FAKE
2,46,0.22814607620239258,FAKE
2,47,0.09477710723876953,FAKE
2,48,0.08681797981262207,FAKE
2,49,0.08307909965515137,FAKE
2,50,0.0794382095336914,FAKE
2,51,0.1788959503173828,FAKE
2,52,0.14896488189697266,FAKE
2,53,0.09130477905273438,FAKE
2,54,0.08971977233886719,FAKE
2,55,0.5062100887298584,FAKE
2,56,0.34454989433288574,FAKE
2,57,0.0851140022277832,FAKE
2,58,0.08156013488769531,FAKE
2,59,0.17249417304992676,FAKE
2,60,0.139085054397583,FAKE
2,61,0.0923151969909668,FAKE
2,62,0.1067500114440918,FAKE
2,63,0.0746159553527832,FAKE
2,64,0.26083993911743164,FAKE
2,65,0.12363600730895996,FAKE
2,66,0.11639094352722168,FAKE
2,67,0.19097518920898438,FAKE
2,68,0.2217259407043457,FAKE
2,69,0.3325991630554199,FAKE
2,70,0.1485433578491211,FAKE
2,71,0.13397789001464844,FAKE
2,72,0.15765619277954102,FAKE
2,73,0.12980389595031738,FAKE
2,74,0.11757993698120117,FAKE
2,75,0.08525204658508301,FAKE
2,76,0.19156503677368164,FAKE
2,77,0.0978097915649414,FAKE
2,78,0.07736396789550781,FAKE
2,79,0.1266331672668457,FAKE
2,80,0.06801891326904297,FAKE
2,81,0.316652774810791,FAKE
2,82,0.15707921981811523,FAKE
2,83,0.0581209659576416,FAKE
2,84,0.16102099418640137,FAKE
2,85,0.34262609481811523,FAKE
2,86,0.4670217037200928,FAKE
2,87,0.24474120140075684,FAKE
2,88,0.5276811122894287,FAKE
2,89,0.11799502372741699,FAKE
2,90,0.10471296310424805,FAKE
2,91,0.1655280590057373,FAKE
2,92,0.19044923782348633,FAKE
2,93,0.10364580154418945,FAKE
2,94,0.08265399932861328,FAKE
2,95,0.09070920944213867,FAKE
2,96,0.16010594367980957,FAKE
2,97,0.09802770614624023,FAKE
2,98,0.07909202575683594,FAKE
2,99,0.09462189674377441,FAKE
2,100,0.08885693550109863,FAKE
3,1,0.06693601608276367,REAL
3,2,0.1936182975769043,REAL
3,3,0.17239999771118164,REAL
3,4,0.2618110179901123,REAL
3,5,0.11357402801513672,REAL
3,6,0.11852812767028809,REAL
3,7,0.09526395797729492,REAL
3,8,0.25789809226989746,REAL
3,9,0.07776808738708496,REAL
3,10,0.09632396697998047,REAL
3,11,0.2922971248626709,REAL
3,12,0.16177892684936523,REAL
3,13,0.38068199157714844,REAL
3,14,0.18233919143676758,REAL
3,15,0.3725719451904297,REAL
3,16,0.5316731929779053,REAL
3,17,0.167039155960083,REAL
3,18,0.10597395896911621,REAL
3,19,0.18996715545654297,REAL
3,20,0.08493304252624512,REAL
3,21,0.11438202857971191,REAL
3,22,0.09649395942687988,REAL
3,23,0.27161097526550293,REAL
3,24,0.07910299301147461,REAL
3,25,0.09232401847839355,REAL
3,26,0.13657498359680176,REAL
3,27,0.20550203323364258,REAL
3,28,0.09541606903076172,REAL
3,29,0.0981147289276123,REAL
3,30,0.09244275093078613,REAL
3,31,0.08501291275024414,REAL
3,32,0.15702390670776367,REAL
3,33,0.12575888633728027,REAL
3,34,0.11025619506835938,REAL
3,35,0.07826709747314453,REAL
3,36,0.22446012496948242,REAL
3,37,0.07743000984191895,REAL
3,38,0.1414809226989746,REAL
3,39,0.07937407493591309,REAL
3,40,0.26972293853759766,REAL
3,41,0.06981611251831055,REAL
3,42,0.15727806091308594,REAL
3,43,0.1984870433807373,REAL
3,44,0.11230802536010742,REAL
3,45,0.11301684379577637,REAL
3,46,0.10435700416564941,REAL
